,name,updated_fullname,taxonomy_source,rank_matched,matched,score,ott_id,ncbi_id,name_source,matched_id_in_source,updated_genus,updated_genus_ott_id,updated_genus_ncbi_id,updated_species,updated_species_ott_id,updated_species_ncbi_id,ott_accepted_name,ott_version,higher_source,domain,kingdom,phylum,subphylum,class,subclass,infraclass,order,suborder,infraorder,superfamily,family,subfamily,tip_name,superfamily,family,subfamily,tribe,genus,species,additional_identifiers,notes,section,cohort
0,Achaetorisa,Achaetorisa,OTT,genus,Achaetorisa,100,4424094,,OTT,4424094,Achaetorisa,4424094.0,,,,,Achaetorisa,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Ephydroidea,Ephydridae,,Archaetorsa_sp_1_I6792_933_268,,,,,Archaetorsa,,I6792_933_268,name was mispelled,Schizophora,Holometabola
1,Cyrtosiinae,Cyrtosiinae,OTT,subfamily,Cyrtosiinae,100,791932,50690,OTT,791932,,,,,,,Cyrtosiinae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Bombyliidae,,Cyrtosiini_gen_sp_Bombyliidae_B,,Bombyliidae,Cyrtosiini,,,,,updated to subfamily,,Holometabola
2,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Coloforia_grandiosa_Therevidae_A,,Therevidae,,,Coloforia,grandiosa,,updated to family,,Holometabola
3,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Calophytus_nubilosa_Therevidae_A,,Therevidae,,,Calophytus,nubilosa,,updated to family,,Holometabola
4,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Calophytus_matilei_Therevidae_A,,Therevidae,,,Calophytus,matilei,,updated to family,,Holometabola
5,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Calophytus_chazeaui_Therevidae_A,,Therevidae,,,Calophytus,chazeaui,,updated to family,,Holometabola
6,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Calophytus_webbi_Therevidae_A,,Therevidae,,,Calophytus,webbi,,updated to family,,Holometabola
7,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Calophytus_sp_Therevidae_A,,Therevidae,,,Calophytus,,,updated to family,,Holometabola
8,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Pyrromannia_superbus_Therevidae_A,,Therevidae,,,Pyrromannia,superbus,,updated to family,,Holometabola
9,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Pyrromannia_actensis_Therevidae_A,,Therevidae,,,Pyrromannia,actensis,,updated to family,,Holometabola
10,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Pyrromannia_carnarvoni_Therevidae_A,,Therevidae,,,Pyrromannia,carnarvoni,,updated to family,,Holometabola
11,Ectinorhynchus,Ectinorhynchus,OTT,genus,Ectinorhynchus,100,447823,99790,OTT,447823,Ectinorhynchus,447823.0,,,,,Ectinorhynchus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,Therevinae,Ectinorhynchus_phyciformis_Therevidae_A,,Therevidae,,,Ectinorhynchus,phyciformis,,updated to genus,,Holometabola
12,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Tianarinha_cracentis_Therevidae_A,,Therevidae,,,Tianarinha,cracentis,,updated to family,,Holometabola
13,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Leptothereva_sp_Therevidae_A,,Therevidae,,,Leptothereva,,,updated to family,,Holometabola
14,Ruppellia,Ruppellia,OTT,genus,Ruppellia,100,545287,95102,OTT,545287,Ruppellia,545287.0,,,,,Ruppellia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,Phycinae,Ruppellia_multisetosis_Therevidae_A,,Therevidae,,,Ruppellia,multisetosis,,updated to family,,Holometabola
15,Propebrevitrichia patersonensis,Propebrevitrichia patersonensis,OTT,species,Propebrevitrichia patersonensis,100,5813114,1611621,OTT,5813114,Propebrevitrichia,4428692.0,1611617,patersonensis,5813114.0,1611621,Propebrevitrichia patersonensis,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Scenopinidae,,Propebrevitrichia_patersonensi_Scenopinidae_As,,Scenopinidae,,,Propebrevitrichia,patersonensi,s,species was mispelled,,Holometabola
16,Phycus,Phycus,OTT,genus,Phycus,100,350966,95076,OTT,350966,Phycus,350966.0,,,,,Phycus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,Phycinae,Phycus_kroeberi,,,,,Phycus,kroeberi,,updated to genus,,Holometabola
17,Cyamops,Cyamops,OTT,genus,Cyamops,100,992100,716614,OTT,992100,Cyamops,992100.0,,,,,Cyamops,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Opomyzoidea,Periscelididae,,Cyamops_nebulosa,,,,,Cyamops,nebulosa,,updated to genus,Schizophora,Holometabola
18,Cyrtodiopsis,Cyrtodiopsis,OTT,genus,Cyrtodiopsis,100,4425925,1702319,OTT,4425925,Cyrtodiopsis,4425925.0,,,,,Cyrtodiopsis,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Diopsoidea,Diopsidae,,Cyrtodiopsis_dalmanni,,,,,Cyrtodiopsis,dalmanni,,updated to genus,Schizophora,Holometabola
19,Rhinomorinia capensis,Rhinomorinia capensis,OTT,species,Rhinomorinia capensis,100,4369409,,OTT,4369409,Rhinomorinia,52673.0,170934,capensis,4369409.0,,Rhinomorinia capensis,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Rhinophoridae,,RHINO_Rhinomorinia_capensis,,Rhinophoridae,,Rhinomorinia,capensis,,,species and genera were in incorrect columns,Schizophora,Holometabola
20,Tricogena rubicosa,Tricogena rubricosa,OTT,species,Tricogena rubricosa,97,4369512,1606794,OTT,4369512,Tricogena,4369511.0,1606792,rubricosa,4369512.0,1606794,Tricogena rubricosa,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Rhinophoridae,,RHINO_Tricogena_rubicosa,,Rhinophoridae,,Tricogena,rubicosa,,,species and genera were in incorrect columns,Schizophora,Holometabola
21,Rhinophora lepida,Rhinophora lepida,OTT,species,Rhinophora lepida,100,259123,670626,OTT,259123,Rhinophora,259125.0,670625,lepida,259123.0,670626,Rhinophora lepida,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Rhinophoridae,,RHINO_Rhinophora_lepida,,Rhinophoridae,,Rhinophora,lepida,,,species and genera were in incorrect columns,Schizophora,Holometabola
22,Tromodesia angustifrons,Tromodesia angustifrons,OTT,species,Tromodesia angustifrons,100,4369603,,OTT,4369603,Tromodesia,4369595.0,1606795,angustifrons,4369603.0,,Tromodesia angustifrons,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Rhinophoridae,,RHINO_Tromodesia_angustifrons,,Rhinophoridae,,Tromodesia,angustifrons,,,species and genera were in incorrect columns,Schizophora,Holometabola
23,Sumatria,Sumatria,OTT,genus,Sumatria,100,4523402,1902155,OTT,4523402,Sumatria,4523402.0,,,,,Sumatria,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Rhiniidae,,RHINI_Cos_Sumatria_rufithorax,,,,,Sumatria,rufithorax,,updated to genus,Schizophora,Holometabola
24,Sumatria,Sumatria,OTT,genus,Sumatria,100,4523402,1902155,OTT,4523402,Sumatria,4523402.0,,,,,Sumatria,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Rhiniidae,,RHINI_Cos_Sumatria_vittigera,,,,,Sumatria,vittigera,,updated to genus,Schizophora,Holometabola
25,Villeneuviella,Villeneuviella,OTT,genus,Villeneuviella,100,4523231,,OTT,4523231,Villeneuviella,4523231.0,,,,,Villeneuviella,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Oestroidea,Rhiniidae,,RHINI_Cos_Villeneuviella_seguyi,,,,,Villeneuviella,seguyi,,updated to genus,Schizophora,Holometabola
26,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Coloforia_grandiosa_Therevidae,,Therevidae,,,Coloforia,grandiosa,,updated to family,,Holometabola
27,Agapophytinae,Agapophytinae,OTT,subfamily,Agapophytinae,100,7179891,2174415,OTT,7179891,,,,,,,Agapophytinae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,,Calophytus_nubilosa_Therevidae,,Therevidae,,,Calophytus,nubilosa,,updated to subfamily,,Holometabola
28,Agapophytinae,Agapophytinae,OTT,subfamily,Agapophytinae,100,7179891,2174415,OTT,7179891,,,,,,,Agapophytinae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,,Calophytus_matilei_Therevidae,,Therevidae,,,Calophytus,matilei,,updated to subfamily,,Holometabola
29,Agapophytinae,Agapophytinae,OTT,subfamily,Agapophytinae,100,7179891,2174415,OTT,7179891,,,,,,,Agapophytinae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,,Calophytus_chazeaui_Therevidae,,Therevidae,,,Calophytus,chazeaui,,updated to subfamily,,Holometabola
30,Agapophytinae,Agapophytinae,OTT,subfamily,Agapophytinae,100,7179891,2174415,OTT,7179891,,,,,,,Agapophytinae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,,Calophytus_webbi_Therevidae,,Therevidae,,,Calophytus,webbi,,updated to subfamily,,Holometabola
31,Agapophytinae,Agapophytinae,OTT,subfamily,Agapophytinae,100,7179891,2174415,OTT,7179891,,,,,,,Agapophytinae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,,Calophytus_sp_Therevidae,,Therevidae,,,Calophytus,,,updated to subfamily,,Holometabola
32,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Pyrromannia_superbus_Therevidae,,Therevidae,,,Pyrromannia,superbus,,updated to family,,Holometabola
33,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Pyrromannia_actensis_Therevidae,,Therevidae,,,Pyrromannia,actensis,,updated to family,,Holometabola
34,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Pyrromannia_carnarvoni_Therevidae,,Therevidae,,,Pyrromannia,carnarvoni,,updated to family,,Holometabola
35,Ectinorhynchus,Ectinorhynchus,OTT,genus,Ectinorhynchus,100,447823,99790,OTT,447823,Ectinorhynchus,447823.0,,,,,Ectinorhynchus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,Therevinae,Ectinorhynchus_phyciformis_Therevidae,,Therevidae,,,Ectinorhynchus,phyciformis,,updated to genus,,Holometabola
36,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Tianarinha_cracentis_Therevidae,,Therevidae,,,Tianarinha,cracentis,,updated to family,,Holometabola
37,Therevidae,Therevidae,OTT,family,Therevidae,100,653869,50676,OTT,653869,,,,,,,Therevidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Leptothereva_sp_Therevidae,,Therevidae,,,Leptothereva,,,updated to family,,Holometabola
38,Ruppellia,Ruppellia,OTT,genus,Ruppellia,100,545287,95102,OTT,545287,Ruppellia,545287.0,,,,,Ruppellia,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Therevidae,Phycinae,Ruppellia_multisetosis_Therevidae,,Therevidae,,,Ruppellia,multisetosis,,updated to genus,,Holometabola
39,Scenopinidae,Scenopinidae,OTT,family,Scenopinidae,100,653872,50675,OTT,653872,,,,,,,Scenopinidae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,,,Propebrevitrichia_patersonensi_Scenopinidaes,,Scenopinidae,,,Propebrevitrichia,patersonensi,,updated to family,,Holometabola
40,Cerdistus,Cerdistus,OTT,genus,Cerdistus,100,919308,188249,OTT,919308,Cerdistus,919308.0,,,,,Cerdistus,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Asiloidea,Asilidae,Asilinae,CerdistusLRC_Asilidae,,Asilidae,,,CerdistusLRC,,,genus was mispelled,,Holometabola
41,Empidinae,Empidinae,OTT,subfamily,Empidinae,100,235209,92562,OTT,235209,,,,,,,Empidinae,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Empidoidea,Empididae,,Hilarini,,,,Hilarini,,,,updated to subfamily,,Holometabola
42,Syringogaster,Syringogaster,OTT,genus,Syringogaster,100,248409,553364,OTT,248409,Syringogaster,248409.0,,,,,Syringogaster,ott3.5draft1,OTT,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Muscomorpha,Diopsoidea,Syringogastridae,,Syringogaster_plesioterga,,,,,Syringogaster,plesioterga,,updated to genus,Schizophora,Holometabola
